user_id,id,name,artist,album,release_date,popularity,duration_ms,explicit,uri,album_genre,artist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_href,analysis_url,time_signature
derek,3nAUf4ccDs61NRnJDtIK6v,Feelin' the Vibe,Erwan Mellec,Circles,2022-03-16,0,192855,False,spotify:track:3nAUf4ccDs61NRnJDtIK6v,Unknown,Unknown,0.802,0.392,1.0,-11.599,0.0,0.184,0.469,0.28,0.15,0.518,89.929,audio_features,https://api.spotify.com/v1/tracks/3nAUf4ccDs61NRnJDtIK6v,https://api.spotify.com/v1/audio-analysis/3nAUf4ccDs61NRnJDtIK6v,4.0
derek,0QFommCQdh6BjTxhbRFlwc,L'envol,Erwan Mellec,Circles,2022-03-16,0,336930,False,spotify:track:0QFommCQdh6BjTxhbRFlwc,Unknown,Unknown,0.538,0.315,4.0,-9.857,1.0,0.073,0.597,0.539,0.338,0.343,119.205,audio_features,https://api.spotify.com/v1/tracks/0QFommCQdh6BjTxhbRFlwc,https://api.spotify.com/v1/audio-analysis/0QFommCQdh6BjTxhbRFlwc,3.0
derek,4VcwcjYCZwbtvVel4mbZyN,Circles,Erwan Mellec,Circles,2022-03-16,0,309069,False,spotify:track:4VcwcjYCZwbtvVel4mbZyN,Unknown,Unknown,0.706,0.394,2.0,-12.981,1.0,0.155,0.493,0.79,0.0825,0.22,131.152,audio_features,https://api.spotify.com/v1/tracks/4VcwcjYCZwbtvVel4mbZyN,https://api.spotify.com/v1/audio-analysis/4VcwcjYCZwbtvVel4mbZyN,4.0
derek,2ich9n3I8MHo1AkC26bpqK,We Contain Multitudes - from home,Ólafur Arnalds,Loom,2020-10-15,44,190500,False,spotify:track:2ich9n3I8MHo1AkC26bpqK,Unknown,bow pop,0.281,0.0333,6.0,-31.46,1.0,0.0348,0.994,0.959,0.0995,0.169,90.25,audio_features,https://api.spotify.com/v1/tracks/2ich9n3I8MHo1AkC26bpqK,https://api.spotify.com/v1/audio-analysis/2ich9n3I8MHo1AkC26bpqK,1.0
derek,7zrpoAJte9o12TzawqgdD0,Con te partirò,Andrea Bocelli,Bocelli (Remastered),1995-01-01,68,250984,False,spotify:track:7zrpoAJte9o12TzawqgdD0,Unknown,classical tenor,0.241,0.367,7.0,-7.95,1.0,0.0311,0.844,0.00279,0.0873,0.302,135.267,audio_features,https://api.spotify.com/v1/tracks/7zrpoAJte9o12TzawqgdD0,https://api.spotify.com/v1/audio-analysis/7zrpoAJte9o12TzawqgdD0,5.0
derek,7Gkse5oUgdsjBeVQn980ce,Particle Emission,Silver Maple,Residuum,2016-06-02,0,163156,False,spotify:track:7Gkse5oUgdsjBeVQn980ce,Unknown,background music,0.886,0.0938,8.0,-23.408,1.0,0.128,0.989,0.951,0.149,0.46,145.983,audio_features,https://api.spotify.com/v1/tracks/7Gkse5oUgdsjBeVQn980ce,https://api.spotify.com/v1/audio-analysis/7Gkse5oUgdsjBeVQn980ce,3.0
derek,0tAbZ8NeoWNgavUT4N1lQp,Lifelike,Porter Robinson,Nurture,2021-04-23,27,94651,False,spotify:track:0tAbZ8NeoWNgavUT4N1lQp,Unknown,complextro,0.455,0.373,10.0,-12.854,1.0,0.0325,0.77,0.0443,0.0682,0.375,100.74,audio_features,https://api.spotify.com/v1/tracks/0tAbZ8NeoWNgavUT4N1lQp,https://api.spotify.com/v1/audio-analysis/0tAbZ8NeoWNgavUT4N1lQp,4.0
derek,0PHMK9TRJasKOWELsdcyRC,"8 Hours, Still No Rain - Mixed",Hosini,Anjunadeep 11,2020-02-07,46,194000,False,spotify:track:0PHMK9TRJasKOWELsdcyRC,Unknown,organic house,0.164,0.166,6.0,-18.223,1.0,0.0337,0.9,0.945,0.087,0.0458,72.665,audio_features,https://api.spotify.com/v1/tracks/0PHMK9TRJasKOWELsdcyRC,https://api.spotify.com/v1/audio-analysis/0PHMK9TRJasKOWELsdcyRC,4.0
derek,3PmEzB2ORXmXBx07JY9z66,Optimistic Nihilism,Epic Mountain,"Kurzgesagt, Vol. 4 (Original Motion Picture Soundtrack)",2017-12-24,49,372000,False,spotify:track:3PmEzB2ORXmXBx07JY9z66,Unknown,Unknown,0.544,0.429,2.0,-16.308,0.0,0.0338,0.597,0.836,0.355,0.0577,120.063,audio_features,https://api.spotify.com/v1/tracks/3PmEzB2ORXmXBx07JY9z66,https://api.spotify.com/v1/audio-analysis/3PmEzB2ORXmXBx07JY9z66,4.0
derek,1ClIKr4uKzosk6FOpHwLJM,Day One,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack),2014-11-18,0,199423,False,spotify:track:1ClIKr4uKzosk6FOpHwLJM,Unknown,german soundtrack,0.311,0.0173,9.0,-27.788,0.0,0.0348,0.927,0.964,0.0727,0.0658,95.985,audio_features,https://api.spotify.com/v1/tracks/1ClIKr4uKzosk6FOpHwLJM,https://api.spotify.com/v1/audio-analysis/1ClIKr4uKzosk6FOpHwLJM,3.0
